데이터,라벨,1 평어,2 왕,3 신하
"""",,,,
내렸다,,,,
여긴다,,,,
없다,,,,
한다,,,,
것이다,,,,
하라,,,,
"""",,,,
말하였다,,,,
같은가,,,,
"""",,,,
누구이겠는가,,,,
하였다,,,,
얻었습니다,,,,
것이다,,,,
있었다,,,,
못하였다,,,,
일어난다,,,,
되었다,,,,
되었다,,,,
말하였다,,,,
바랍니다,,,,
높이었다,,,,
하시오,,,,
하였다,,,,
없었다,,,,
하였다,,,,
뿐이다,,,,
있겠는가,,,,
일어나겠지,,,,
하였다,,,,
갔었다,,,,
아닌가,,,,
일렀다,,,,
것이다,,,,
"""",,,,
올랐다,,,,
아뢰었다,,,,
청합니다,,,,
세웠습니다,,,,
없겠습니까,,,,
흘러내리었다,,,,
재결(裁決)하였다,,,,
삼았다,,,,
있었다,,,,
없다,,,,
말리었다,,,,
가버렸다,,,,
잃었다,,,,
불렀다,,,,
권고하였다,,,,
뿐입니다,,,,
떠나셨습니다,,,,
것입니다,,,,
물러났습니다,,,,
폐(廢)해졌습니다,,,,
있었습니다,,,,
배반했다,,,,
것입니다,,,,
못하겠습니까,,,,
되겠습니다,,,,
않았습니다,,,,
한다,,,,
것입니다,,,,
없었습니다,,,,
갔습니다,,,,
부응하소서,,,,
않는다,,,,
감당하겠는가,,,,
아니하였다,,,,
되었다,,,,
받았다,,,,
생각했겠는가,,,,
보좌하라,,,,
하였다,,,,
돌아왔다,,,,
올랐다,,,,
아뢰었다,,,,
청합니다,,,,
세웠습니다,,,,
없겠습니까,,,,
흘러내리었다,,,,
재결(裁決)하였다,,,,
삼았다,,,,
있었다,,,,
없다,,,,
말리었다,,,,
가버렸다,,,,
잃었다,,,,
불렀다,,,,
권고하였다,,,,
뿐입니다,,,,
떠나셨습니다,,,,
것입니다,,,,
물러났습니다,,,,
폐(廢)해졌습니다,,,,
있었습니다,,,,
배반했다,,,,
것입니다,,,,
못하겠습니까,,,,
되겠습니다,,,,
않았습니다,,,,
한다,,,,
것입니다,,,,
없었습니다,,,,
갔습니다,,,,
부응하소서,,,,
않는다,,,,
감당하겠는가,,,,
아니하였다,,,,
되었다,,,,
받았다,,,,
생각했겠는가,,,,
보좌하라,,,,
하였다,,,,
돌아왔다,,,,
청하였다,,,,
이르렀습니다,,,,
되었습니다,,,,
없었습니다,,,,
베었습니다,,,,
없었습니다,,,,
하였습니다,,,,
없었습니다,,,,
하소서,,,,
"""",,,,
상소(上疏)하였다,,,,
되었습니다,,,,
아아,,,,
하겠습니까,,,,
않겠습니까,,,,
’하였습니다,,,,
없습니다,,,,
이유입니다,,,,
근원입니다,,,,
있습니다,,,,
삼으소서,,,,
일입니다,,,,
것입니다,,,,
하소서,,,,
일입니다,,,,
것입니다,,,,
것입니다,,,,
일입니다,,,,
예,,,,
예,,,,
소인입니다,,,,
어렵습니다,,,,
초래하였습니다,,,,
않겠습니까,,,,
것이다,,,,
하소서,,,,
일입니다,,,,
것이다,,,,
격언(格言)입니다,,,,
것입니다,,,,
것입니다,,,,
용이하겠습니까,,,,
됩니다,,,,
것입니다,,,,
말라,,,,
된다,,,,
두소서,,,,
일입니다,,,,
미워한다,,,,
않습니까,,,,
것입니다,,,,
때문이다,,,,
것입니다,,,,
일입니다,,,,
말라,,,,
일뿐이겠습니까,,,,
없습니다,,,,
두렵습니다,,,,
일입니다,,,,
행실입니다,,,,
소비하겠습니까,,,,
바입니다,,,,
하소서,,,,
것입니다,,,,
일입니다,,,,
되었습니다,,,,
자들입니다,,,,
아니었습니다,,,,
일입니다,,,,
하소서,,,,
일입니다,,,,
법입니다,,,,
있었습니다,,,,
없습니다,,,,
하소서,,,,
일입니다,,,,
것입니다,,,,
못합니다,,,,
하소서,,,,
것입니다,,,,
깊습니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
다행이겠습니다,,,,
말하였다,,,,
시행하겠다,,,,
"""",,,,
말하였다,,,,
하라,,,,
"""",,,,
상소하였다,,,,
이르렀습니다,,,,
귀양보내소서,,,,
하였다,,,,
내리었다,,,,
이르노라,,,,
한다,,,,
떳떳함이다,,,,
끊어졌습니다,,,,
있겠습니까,,,,
하소서,,,,
하였다,,,,
있습니다,,,,
없습니다,,,,
한다,,,,
열거(列擧)한다,,,,
하라,,,,
1,,,,
제도이다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
아니다,,,,
것이다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
없다,,,,
것이다,,,,
1,,,,
것이다,,,,
것이다,,,,
1,,,,
것이다,,,,
것이다,,,,
1,,,,
많다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
민망스럽다,,,,
것이다,,,,
1,,,,
처지이다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
아니다,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것이다,,,,
1,,,,
것입니다,,,,
것이다,,,,
것이다,,,,
않았다,,,,
바쳤다,,,,
이르겠는가,,,,
말라,,,,
하였다,,,,
말하였다,,,,
말라,,,,
아니하였다,,,,
말하였다,,,,
여긴다,,,,
것이다,,,,
얻겠는가,,,,
것이다,,,,
모의(謀議)하겠는가,,,,
되었다,,,,
되었다,,,,
하였다,,,,
대답하였다,,,,
것이다,,,,
못하였다,,,,
상서(上書)하였다,,,,
것입니다,,,,
거행하소서,,,,
청합니다,,,,
하소서,,,,
삼겠습니까,,,,
청합니다,,,,
것입니다,,,,
것입니다,,,,
내렸다,,,,
아뢰라,,,,
"""",,,,
상서(上書)하였다,,,,
있습니다,,,,
하소서,,,,
윤허(允許)하였다,,,,
상언(上言)하였다,,,,
없습니다,,,,
않았습니다,,,,
하소서,,,,
따랐다,,,,
상서(上書)하였다,,,,
있습니다,,,,
마소서,,,,
꺼내었는가,,,,
꺼내었습니다,,,,
뿐이다,,,,
말라,,,,
"""",,,,
상소(上疏)하였다,,,,
여기옵니다,,,,
어떻겠습니까,,,,
없습니다,,,,
되었습니다,,,,
됩니다,,,,
것이옵니다,,,,
것입니다,,,,
소속시키소서,,,,
하였다,,,,
하였다,,,,
하였다,,,,
않았다,,,,
어렵도다,,,,
만하다,,,,
것이다,,,,
크다,,,,
시행하라,,,,
"""",,,,
삼았다,,,,
낫겠다,,,,
사람인가,,,,
없었다,,,,
좋습니다,,,,
세웠다,,,,
머물었다,,,,
하였다,,,,
명령하였다,,,,
것이다,,,,
"""",,,,
죽었다,,,,
말하였다,,,,
까닭인가,,,,
아들이다,,,,
이르렀다,,,,
아니하였다,,,,
이르렀다,,,,
폄출되었다,,,,
소환(召還)되었다,,,,
아니하였다,,,,
지적하였다,,,,
승진되었다,,,,
삼았다,,,,
당하였다,,,,
돌아왔다,,,,
폄출(貶黜)되었다,,,,
46세였다,,,,
이차점(李次點)·이차약(李次若)·이차건(李次騫)·이차삼(李次參)이다,,,,
되었다,,,,
적절(適切)하다,,,,
없었다,,,,
하였다,,,,
반행(頒行)시켰다,,,,
하였다,,,,
아들이다,,,,
이르렀다,,,,
임명되었다,,,,
비난하였다,,,,
폄출(貶黜)되었다,,,,
입었다,,,,
32세였다,,,,
이숙야(李叔野)·이숙휴(李叔畦)·이숙당(李叔當)·이숙묘(李叔畝)·이숙복(李叔福)·이숙치(李叔畤)이다,,,,
맏아들이다,,,,
승진되었다,,,,
죽었다,,,,
39세였다,,,,
우성범(禹成範)·우승범(禹承範)·우흥범(禹興範)·우희범(禹希範)이다,,,,
보호하였다,,,,
주었다,,,,
이르렀다,,,,
정도전(鄭道傳)이다,,,,
원망하였다,,,,
없었다,,,,
하였다,,,,
하였다,,,,
하겠는가,,,,
말라,,,,
하였다,,,,
못하다,,,,
하였다,,,,
따랐다,,,,
것이다,,,,
아뢰었다,,,,
탄식하였다,,,,
풀어주었다,,,,
상언(上言)하였다,,,,
말라,,,,
있겠습니까,,,,
소속시키소서,,,,
따랐다,,,,
말하였다,,,,
삼았습니다,,,,
"""",,,,
하였다,,,,
올립니다,,,,
15년이었습니다,,,,
하였습니다,,,,
돌이켰습니다,,,,
하였습니다,,,,
없었습니다,,,,
하였습니다,,,,
되겠다,,,,
추대하였습니다,,,,
못하겠습니다,,,,
하소서,,,,
"""",,,,
보냈다,,,,
내렸다,,,,
있다,,,,
있다,,,,
되겠도다,,,,
하라,,,,
것이다,,,,
것이다,,,,
하라,,,,
내렸다,,,,
있다,,,,
뿐이다,,,,
책임지겠는가,,,,
보고하라,,,,
것이다,,,,
것이다,,,,
것이다,,,,
"""",,,,
상언(上言)하였다,,,,
"""1",,,,
하소서,,,,
1,,,,
하소서,,,,
1,,,,
하소서,,,,
허락하였다,,,,
상언(上言)하였다,,,,
같습니다,,,,
것입니다,,,,
같습니다,,,,
것입니다,,,,
같습니다,,,,
것입니다,,,,
같습니다,,,,
하소서,,,,
주었다,,,,
상소(上疏)하였다,,,,
있습니다,,,,
되었습니다,,,,
하소서,,,,
말하였다,,,,
되었다,,,,
두겠는가,,,,
있겠는가,,,,
하였다,,,,
상소하였다,,,,
탄핵했습니다,,,,
없습니다,,,,
귀양보냈다,,,,
하였다,,,,
이르렀다,,,,
들었습니다,,,,
어렵습니다,,,,
바라옵니다,,,,
하였다,,,,
상언(上言)하였다,,,,
저버리겠습니까,,,,
시행하소서,,,,
1,,,,
있습니다,,,,
됩니다,,,,
하소서,,,,
1,,,,
합니다,,,,
하소서,,,,
1,,,,
같았습니다,,,,
여깁니다,,,,
바로잡으소서,,,,
1,,,,
어두워졌습니다,,,,
못했습니다,,,,
못하였습니다,,,,
명백합니다,,,,
것입니다,,,,
것입니다,,,,
1,,,,
것입니다,,,,
하였습니다,,,,
못됩니다,,,,
하소서,,,,
1,,,,
근본입니다,,,,
걱정하겠습니까,,,,
하소서,,,,
1,,,,
직책입니다,,,,
없습니다,,,,
것입니다,,,,
것입니다,,,,
하소서,,,,
1,,,,
덕입니다,,,,
됩니다,,,,
기틀입니다,,,,
하소서,,,,
1,,,,
않았습니다,,,,
하소서,,,,
1,,,,
이익되겠습니까,,,,
있겠습니까,,,,
하소서,,,,
1,,,,
제도입니다,,,,
없겠습니까,,,,
하소서,,,,
1,,,,
제도입니다,,,,
방어하겠습니까,,,,
하소서,,,,
"""",,,,
상언(上言)하였다,,,,
"""1",,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
1,,,,
어긋납니다,,,,
1,,,,
1,,,,
1,,,,
것입니다,,,,
따랐다,,,,
아뢰었다,,,,
주소서,,,,
말하였다,,,,
것이다,,,,
있겠는가,,,,
않다,,,,
아뢰었다,,,,
불가하겠습니까,,,,
말하였다,,,,
말인가,,,,
말하였다,,,,
없었다,,,,
않았다,,,,
것이다,,,,
"""",,,,
내렸다,,,,
하라,,,,
"""",,,,
맹세하였다,,,,
이러하였다,,,,
고합니다,,,,
이루었습니다,,,,
없습니다,,,,
드물다,,,,
있습니다,,,,
것입니다,,,,
것입니다,,,,
"""",,,,
쳤다,,,,
아뢰었다,,,,
좋습니다,,,,
말하였다,,,,
쓰겠는가,,,,
아뢰었다,,,,
있겠습니까,,,,
말하였다,,,,
말라,,,,
"""",,,,
아뢰었다,,,,
됩니다,,,,
하소서,,,,
받아들였다,,,,
상언(上言)하였다,,,,
편이었습니다,,,,
않습니다,,,,
하소서,,,,
말하였다,,,,
옳겠는가,,,,
"""",,,,
내리었다,,,,
있었다,,,,
하였다,,,,
않았었다,,,,
되었다,,,,
것이다,,,,
여긴다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
없습니다,,,,
됩니다,,,,
하소서,,,,
따르다,,,,
아뢰었다,,,,
하십니까,,,,
마옵소서,,,,
말하였다,,,,
믿었겠는가,,,,
대답하였다,,,,
때문입니다,,,,
말하였다,,,,
말인가,,,,
말라,,,,
"""",,,,
일렀다,,,,
말라,,,,
것이다,,,,
"""",,,,
보고하였다,,,,
베었습니다,,,,
하였다,,,,
진현(進見)하였다,,,,
되겠다,,,,
되었다,,,,
주었다,,,,
청하였다,,,,
하였다,,,,
말하였다,,,,
교환했겠는가,,,,
것이다,,,,
하라,,,,
"""",,,,
올렸다,,,,
"""1",,,,
것입니다,,,,
2,,,,
여깁니다,,,,
3,,,,
4,,,,
5,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
아뢰었다,,,,
여기옵니다,,,,
합니다,,,,
말하였다,,,,
말하겠는가,,,,
이유인가,,,,
"""",,,,
하였다,,,,
상언(上言)하였다,,,,
있습니다,,,,
못합니다,,,,
하였다,,,,
기뻐하였다,,,,
되었다,,,,
하였다,,,,
장계(狀啓)하였다,,,,
마소서,,,,
말하였다,,,,
하라,,,,
"""",,,,
탄핵하였다,,,,
않는다,,,,
했습니다,,,,
않았습니다,,,,
없습니다,,,,
권려(勸勵)하소서,,,,
하였다,,,,
명하였다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
논죄(論罪)하소서,,,,
윤허하였다,,,,
보다가,,,,
하였다,,,,
있다,,,,
하였다,,,,
이르렀는가,,,,
허가하였다,,,,
두었었다,,,,
삼았었다,,,,
현저하였었다,,,,
못하였다,,,,
것이었다,,,,
상언하였다,,,,
없습니다,,,,
있습니다,,,,
하소서,,,,
하였다,,,,
입었다,,,,
받았다,,,,
바쳤다,,,,
내렸다,,,,
헌수(獻壽)하였다,,,,
올립니다,,,,
불렀다,,,,
파(罷)하였다,,,,
구경하였다,,,,
보고하였다,,,,
하소서,,,,
"""",,,,
내리었다,,,,
하라,,,,
"""",,,,
찾았습니다,,,,
바쳤다,,,,
명령하였다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
과죄(科罪)하소서,,,,
명령하였다,,,,
하라,,,,
"""",,,,
대답하였다,,,,
없습니다,,,,
"""",,,,
행하였다,,,,
이러하였다,,,,
하라,,,,
하였소,,,,
하오,,,,
내렸다,,,,
이르노라,,,,
되었다,,,,
보고하라,,,,
청하였다,,,,
하라,,,,
하였소,,,,
하였다,,,,
경하(慶賀)하겠는가,,,,
복(福)이다,,,,
것이다,,,,
것이다,,,,
아아,,,,
것이다,,,,
"""",,,,
하였다,,,,
주었습니다,,,,
넘쳤습니다,,,,
필적(匹敵)하셨습니다,,,,
시작되었습니다,,,,
다하겠습니다,,,,
"""",,,,
있던가,,,,
알리던가,,,,
없었다,,,,
것이다,,,,
본뜻이겠는가,,,,
없었다,,,,
있겠습니까,,,,
보시옵소서,,,,
치겠습니다,,,,
하였다,,,,
것이다,,,,
때문이다,,,,
하겠는가,,,,
하였다,,,,
없습니다,,,,
청하였다,,,,
가자,,,,
있겠습니까,,,,
하였다,,,,
유숙(留宿)하였다,,,,
상언(上言)하였다,,,,
하소서,,,,
하였다,,,,
상언(上言)하였다,,,,
허가하소서,,,,
따랐다,,,,
아뢰었다,,,,
해당됩니다,,,,
따랐다,,,,
상언(上言)하였다,,,,
없애라,,,,
하소서,,,,
말하였다,,,,
하라,,,,
"""",,,,
보고하였다,,,,
하소서,,,,
"""",,,,
명령하였다,,,,
것이다,,,,
"""",,,,
하였다,,,,
청하였다,,,,
아깝습니다,,,,
있습니다,,,,
하였다,,,,
갔다,,,,
있으시오,,,,
하였다,,,,
없습니다,,,,
하였다,,,,
하였는가,,,,
그만두었다,,,,
하였다,,,,
상언(上言)하였다,,,,
허가한다,,,,
되었습니다,,,,
말하였다,,,,
이유인가,,,,
하라,,,,
"""",,,,
하였다,,,,
하였다,,,,
없다,,,,
대답하였다,,,,
하였다,,,,
하였다,,,,
알겠습니다,,,,
뿐이었습니다,,,,
못하겠습니다,,,,
치우쳤습니다,,,,
어렵겠습니다,,,,
것입니다,,,,
간절하겠습니다,,,,
송납(送納)하였다,,,,
보고하였다,,,,
도착하였습니다,,,,
하였다,,,,
전지(傳旨)하였다,,,,
"""1",,,,
1,,,,
1,,,,
1,,,,
하라,,,,
내렸다,,,,
보고하였다,,,,
있습니다,,,,
"""",,,,
전지(傳旨)하였다,,,,
쓰겠는가,,,,
것이다,,,,
하였다,,,,
아뢰었다,,,,
하소서,,,,
윤허하였다,,,,
보고하였다,,,,
왔습니다,,,,
사람이었다,,,,
용서한다,,,,
않다,,,,
해치겠는가,,,,
같다,,,,
되었다,,,,
사례하였다,,,,
말하였다,,,,
하라,,,,
"""",,,,
참말인가,,,,
무성해집니다,,,,
기뻐하였다,,,,
아뢰었다,,,,
감당하겠습니까,,,,
하소서,,,,
말하였다,,,,
하는가,,,,
조심하라,,,,
"""",,,,
거행하였다,,,,
"""1",,,,
죽였소,,,,
못하겠는가,,,,
1,,,,
1,,,,
없었소,,,,
1,,,,
1,,,,
하였소,,,,
가지이다,,,,
아아,,,,
되었소,,,,
평정하였소,,,,
되었소,,,,
근절되었소,,,,
일으키는가,,,,
것이오,,,,
것이오,,,,
사람이다,,,,
아뢰었다,,,,
하소서,,,,
말하였다,,,,
아니다,,,,
끼치겠는가,,,,
아니하였다,,,,
명하였다,,,,
없었다,,,,
다르겠는가,,,,
하였다,,,,
대답하겠습니까,,,,
뿐이다,,,,
하였다,,,,
하였다,,,,
전지하였다,,,,
아니하다,,,,
것이다,,,,
여긴다,,,,
시행하라,,,,
하였다,,,,
내리었다,,,,
만하다,,,,
것이다,,,,
"""",,,,
하였다,,,,
있겠느냐,,,,
것이다,,,,
일렀다,,,,
것이다,,,,
즐기겠는가,,,,
좋다,,,,
"""",,,,
갔다,,,,
없다,,,,
하였다,,,,
말하였다,,,,
하라,,,,
"""",,,,
말하였다,,,,
표합니다,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
없사옵니다,,,,
없사옵니다,,,,
하였습니다,,,,
없었습니다,,,,
있겠습니까,,,,
일어납니다,,,,
것입니다,,,,
다하겠습니다,,,,
"""",,,,
하였다,,,,
됩니다,,,,
되었습니다,,,,
바입니다,,,,
없었습니다,,,,
보고한다,,,,
있다,,,,
건너갔다,,,,
것들이라,,,,
하였소,,,,
없다,,,,
하였습니다,,,,
않겠습니까,,,,
있습니다,,,,
있겠습니까,,,,
있었겠습니까,,,,
꾀겠습니까,,,,
뿐입니다,,,,
발송(發送)하겠습니다,,,,
하였습니다,,,,
보내겠습니다,,,,
아뢰옵니다,,,,
것입니다,,,,
급급한가,,,,
황공하옵니다,,,,
않았습니다,,,,
있겠습니까,,,,
것입니다,,,,
받았습니다,,,,
있었습니다,,,,
생각하였겠습니까,,,,
일으키겠습니까,,,,
없습니다,,,,
축원하겠습니다,,,,
"""",,,,
상언(上言)하였다,,,,
않습니다,,,,
하소서,,,,
가두었다,,,,
하였다,,,,
것이다,,,,
한다,,,,
계문(啓聞)하오,,,,
하였다,,,,
것이었다,,,,
졸(卒)하였다,,,,
하였다,,,,
아들이다,,,,
썼다,,,,
아니하였다,,,,
바쳤다,,,,
이러하였다,,,,
것이다,,,,
어렵겠구나,,,,
삼았다,,,,
방어하였다,,,,
죽었다,,,,
없다,,,,
하였다,,,,
상서(上書)하였다,,,,
것입니다,,,,
여긴다,,,,
같다,,,,
하소서,,,,
"""",,,,
왔다,,,,
하였다,,,,
하였다,,,,
60필이다,,,,
80필이다,,,,
"""",,,,
것인가,,,,
일인가,,,,
명하였다,,,,
마라,,,,
"""",,,,
아뢰었다,,,,
되었습니다,,,,
하소서,,,,
윤허하였다,,,,
보고하였다,,,,
패전하였습니다,,,,
말하였다,,,,
것이다,,,,
것이다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
사무입니다,,,,
하소서,,,,
윤허하였다,,,,
명하였다,,,,
하라,,,,
"""",,,,
아뢰었다,,,,
않습니다,,,,
"""",,,,
않았다,,,,
것입니다,,,,
벗었다,,,,
일렀다,,,,
무례하다,,,,
하라,,,,
"""",,,,
내리었다,,,,
않다,,,,
거행하라,,,,
"""",,,,
내리었다,,,,
것이다,,,,
이해하였다,,,,
이르겠는가,,,,
되었다,,,,
것이다,,,,
거행하라,,,,
"""",,,,
올리었다,,,,
된다,,,,
하였습니다,,,,
것입니다,,,,
것입니다,,,,
합치되었다,,,,
것입니다,,,,
정제(整齊)하십시오,,,,
마십시오,,,,
것입니다,,,,
지극하였습니다,,,,
없습니다,,,,
것입니다,,,,
없습니다,,,,
바치옵니다,,,,
1,,,,
몽금척(夢金尺),,,,
고지식하다,,,,
되었다,,,,
것입니다,,,,
맞으셨습니다,,,,
적합하였습니다,,,,
상서(祥瑞)입니다,,,,
미치겠습니다,,,,
1,,,,
수보록(受寶籙),,,,
지었습니다,,,,
글이었습니다,,,,
